l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_f,heat_ext
1508,13,0.024,0.719,0.018,39.94444444,32.58285073,76,1584,2.21,2346.31,53.73,6.68,209.65,94.86425339,29786458.53
1506,14,0.024,1.047,0.025,41.88,25.10710746,45,1551,2.75,2356.18,62.96,7.6,258.98,94.17454545,27348823.85
1506,3,0.022,1.014,0.029,34.96551724,22.31802259,44,1550,2.81,2355.19,62.9,7.6,259.52,92.35587189,26753617.37
1506,7,0.028,1.052,0.021,50.0952381,28.83191546,44,1550,2.63,2360.12,63.07,7.06,249.69,94.9391635,26609231.27
1508,11,0.022,0.73,0.019,38.42105263,31.21470086,54,1562,2.64,2361.72,62.94,7.24,251.41,95.23106061,27202720.36
1508,16,0.031,0.8,0.019,42.10526316,31.21470086,76,1584,2.26,2362.64,62.5,7.25,214.83,95.05752212,31832915.04
1506,15,0.019,0.969,0.022,44.04545455,27.78715793,42,1548,2.67,2359.68,62.92,7.33,253.65,95,27207905.8
1506,11,0.022,1.15,0.019,60.52631579,31.21470086,40,1546,2.59,2359.23,62.96,7.21,246,94.98069498,27583862.11
1508,17,0.028,0.843,0.022,38.31818182,27.78715793,59,1567,2.75,2360.52,63.06,7.39,259,94.18181818,26642116.28
1508,10,0.016,0.74,0.02,37,29.96988564,45,1553,2.36,2360.59,63.06,7.03,223.34,94.63559322,29533381.5
1506,8,0.025,1.04,0.016,65,35.77449321,67,1573,2.21,2355.22,62.57,7.39,210.65,95.31674208,33077519.62
1508,14,0.022,0.75,0.019,39.47368421,31.21470086,40,1548,2.89,2356.28,63.03,7.41,265.76,91.95847751,25374445.04
1508,14,0.018,0.72,0.019,37.89473684,31.21470086,51,1559,3.19,2355.02,63.03,7.8,267.31,83.79623824,24185095.67
1506,16,0.014,1.117,0.023,48.56521739,26.82423957,50,1556,2.77,2349.37,62.86,7.52,263.1,94.98194946,26787906.89
1506,17,0.022,1.047,0.021,49.85714286,28.83191546,39,1545,2.74,2344.34,63.01,7.32,259.92,94.86131387,26304521.52
1506,16,0.025,1.04,0.022,47.27272727,27.78715793,63,1569,2.73,2352.06,62.97,7.63,259.74,95.14285714,27609565.85
1508,8,0.028,0.739,0.025,29.56,25.10710746,66,1574,2.21,2384.5,62.4,6.6,211.13,95.53393665,29908751.13
1506,6,0.02,1.04,0.016,65,35.77449321,54,1560,2.9,2397.04,62.91,7.19,275.08,94.85517241,24960625.49
1506,6,0.017,1.045,0.024,43.54166667,25.93359266,46,1552,2.8,2390.92,63.01,7.37,266.26,95.09285714,26431620.6
1508,8,0.025,0.722,0.023,31.39130435,26.82423957,30,1538,3.36,2397.07,63,8.1,300.29,89.37202381,24270333.75
1506,8,0.028,1.047,0.03,34.9,21.72572514,42,1548,2.64,2393.55,62.88,7.2,252.64,95.6969697,27417027.27
1506,8,0.015,1.086,0.017,63.88235294,34.09448306,51,1557,3.02,2394.73,62.81,7.25,288.36,95.48344371,24145539.24
1508,10,0.026,0.77,0.027,28.51851852,23.61991192,38,1546,2.96,2401.5,62.99,6.57,281.08,94.95945946,22387496.96
1508,7,0.029,0.729,0.018,40.5,32.58285073,55,1563,2.24,2400.48,62.7,6.64,211.23,94.29910714,29885976
1506,5,0.024,1.076,0.026,41.38461538,24.33786233,41,1547,2.67,2398.16,62.84,7.3,254.37,95.26966292,27538421.57
1506,5,0.022,1.06,0.02,53,29.96988564,56,1562,2.66,2399.54,63.08,7.09,252.99,95.10902256,26862218.84
1506,7,0.02,1.04,0.021,49.52380952,28.83191546,30,1536,2.89,2399.91,62.98,7.05,273.66,94.69204152,24588697.27
1508,6,0.021,0.734,0.02,36.7,29.96988564,65,1573,3.06,2392.94,63.09,7.91,290.87,95.05555556,25979821.14
1508,7,0.015,0.76,0.028,27.14285714,22.94811947,55,1563,2.9,2394.09,62.96,7.28,276.08,95.2,25241964.08
1508,6,0.013,0.72,0.029,24.82758621,22.31802259,48,1556,2.84,2397.55,62.86,6.71,272.17,95.83450704,23791462.71
1508,8,0.027,0.735,0.026,28.26923077,24.33786233,39,1547,2.62,2389.02,63.08,7.26,248.07,94.68320611,27803815.97
1508,9,0.021,0.793,0.014,56.64285714,39.77262916,33,1541,2.56,2390.27,62.78,6.8,245.13,95.75390625,26666449.69
1508,6,0.015,0.7,0.016,43.75,35.77449321,63,1571,2.28,2396.44,62.59,6.88,217.92,95.57894737,30371723.79
1508,8,0.018,0.72,0.019,37.89473684,31.21470086,37,1545,2.86,2396.91,62.99,7.11,272.16,95.16083916,25026757.49
1508,6,0.015,0.725,0.034,21.32352941,19.67192734,48,1556,2.76,2395.98,62.91,7,262.46,95.0942029,25522395.65
1508,5,0.018,0.73,0.024,30.41666667,25.93359266,51,1559,2.85,2392.61,63.04,6.93,271.5,95.26315789,24434844.44
1508,13,0.017,0.778,0.028,27.78571429,22.94811947,46,1554,2.85,2392.84,62.97,6.84,271,95.0877193,24119827.2
1508,8,0.016,0.746,0.013,57.38461538,42.18126779,76,1584,2.4,2400.41,62.53,6.97,228.26,95.10833333,29279000.98
